Comparison,Mean,Median,Min,Max,SD,Sweeps with facilitation (%),Sweeps with facilitation (n),Total sweeps used
Pulse 2/Pulse 1,1.4515062943155013,1.5388756398151755,0.5040811387431862,2.20217922523102,0.5100684003100218,83.33333333333334,10,12
Pulse 3/Pulse 1,1.4583326692157403,1.4588161231299677,0.8361761169015934,1.9697267561947545,0.4007613240012194,83.33333333333334,10,12
Pulse 4/Pulse 1,1.8216820178393356,1.9031008803023894,1.065392369402728,2.8216156508062924,0.5930421582698928,100.0,12,12
